super_opeid,name,par_income_bin,par_income_lab,attend,stderr_attend,attend_level,attend_sat,stderr_attend_sat,attend_level_sat,rel_apply,stderr_rel_apply,rel_attend,stderr_rel_attend,rel_att_cond_app,rel_apply_sat,stderr_rel_apply_sat,rel_attend_sat,stderr_rel_attend_sat,rel_att_cond_app_sat,attend_unwgt,stderr_attend_unwgt,attend_unwgt_level,rel_attend_unwgt,rel_apply_unwgt,stderr_rel_attend_unwgt,stderr_rel_apply_unwgt,rel_att_cond_app_unwgt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,97.5,97-98,0.011673247,0.00089029962,0.0099975159,0.014544154,0.0017726514,0.010133223,1.0618472,0.02038572,1.1676148,0.089052081,1.0996072,1.1343453,0.039279833,1.435294,0.17493463,1.2653061,0.0021669415,0.00013438094,0.00056845817,3.8119631,2.6143105,0.23639548,0.041865896,1.4581141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,98.5,98-99,0.013613031,0.00090342306,0.0099975159,0.01262382,0.0015507288,0.010133223,1.0741554,0.019038118,1.3616414,0.090364754,1.267639,1.1577343,0.037063334,1.2457852,0.15303412,1.0760546,0.0027703787,0.00015120611,0.00056845817,4.8734961,3.0278783,0.26599339,0.044874307,1.6095417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,99.400002,99-99.9,0.014533797,0.00090237934,0.0099975159,,,0.010133223,1.1038181,0.019123705,1.4537408,0.090260357,1.3170112,,,,,,0.0036347983,0.00018233326,0.00056845817,6.394135,3.5141776,0.32075053,0.05095594,1.8195254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,99.5,Top 1,0.015519165,0.00086200214,0.0099975159,0.01700498,0.0015829186,0.010133223,1.0919437,0.01766788,1.552302,0.086221635,1.4215952,1.1032453,0.032411192,1.6781414,0.15621078,1.5210955,0.004055629,0.00018264755,0.00056845817,7.1344371,3.5850837,0.3213034,0.048904866,1.9900336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,Columbia University In The City Of New York,100,Top 0.1,0.023024304,0.0028957487,0.0099975159,,,0.010133223,1.0085368,0.046177659,2.3030024,0.28964683,2.2835085,,,,,,0.0079298159,0.00080823351,0.00056845817,13.949691,4.2330866,1.4217994,0.17025965,3.2953947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,Cornell University,10,0-20,0.012218312,0.0011307073,0.011740782,0.023364117,0.0037472332,0.018858287,1.1364199,0.02843442,1.0406728,0.096305959,0.91574669,1.2685859,0.06351544,1.2389311,0.19870485,0.97662371,0.00044995995,0.000026373707,0.0013760885,0.32698476,0.48751268,0.019165706,0.006871141,0.67072052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,Cornell University,30,20-40,0.01308782,0.00092009106,0.011740782,0.022959786,0.0030088783,0.018858287,1.2102206,0.0236075,1.1147316,0.078367099,0.92109782,1.178744,0.050025482,1.2174904,0.15955204,1.032871,0.00056676619,0.000025032448,0.0013760885,0.41186756,0.54599726,0.018191017,0.0061654067,0.75433999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,Cornell University,50,40-60,0.011795697,0.00063423824,0.011740782,0.017574906,0.0018183878,0.018858287,0.99610174,0.01551727,1.0046773,0.054020099,1.0086092,0.99895167,0.031742528,0.93194604,0.096423805,0.93292403,0.0006739028,0.000023913955,0.0013760885,0.48972344,0.58090281,0.017378211,0.0055413973,0.8430385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,Cornell University,65,60-70,0.011104289,0.00066198892,0.011740782,0.017846368,0.0019034194,0.018858287,0.89547282,0.015847938,0.94578785,0.056383714,1.0561882,0.87213469,0.030973328,0.94634086,0.10093278,1.0850856,0.00080226891,0.000033083808,0.0013760885,0.5830068,0.64124697,0.024041919,0.0073762876,0.90917671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,Cornell University,75,70-80,0.0098477276,0.00047381924,0.011740782,0.012313556,0.001251394,0.018858287,0.87766886,0.012157678,0.83876246,0.040356699,0.95567077,0.81865752,0.02371897,0.65295196,0.066357777,0.79758865,0.00094066467,0.000033082786,0.0013760885,0.68357861,0.7629835,0.024041176,0.0075068418,0.89592844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
